gle read:2.00 | controller signal:1300.40 | 
17:37:33.896 -> angle read:4.00 | controller signal:1317.70 | 
17:37:33.931 -> angle read:4.00 | controller signal:1317.70 | 
17:37:34.000 -> angle read:5.00 | controller signal:1317.70 | 
17:37:34.035 -> angle read:6.00 | controller signal:1328.40 | 
17:37:34.070 -> angle read:6.00 | controller signal:1328.40 | 
17:37:34.140 -> angle read:8.00 | controller signal:1328.40 | 
17:37:34.175 -> angle read:8.00 | controller signal:1337.40 | 
17:37:34.243 -> angle read:9.00 | controller signal:1337.40 | 
17:37:34.278 -> angle read:10.00 | controller signal:1337.40 | 
17:37:34.348 -> angle read:10.00 | controller signal:1344.40 | 
17:37:34.382 -> angle read:12.00 | controller signal:1344.40 | 
17:37:34.417 -> angle read:12.00 | controller signal:1344.40 | 
17:37:34.487 -> angle read:12.00 | controller signal:1349.40 | 
17:37:34.522 -> angle read:13.00 | controller signal:1349.40 | 
17:37:34.592 -> angle read:13.00 | controller signal:1357.70 | 
17:37:34.626 -> angle read:14.00 | controller signal:1357.70 | 
17:37:34.696 -> angle read:14.00 | controller signal:1357.70 | 
17:37:34.731 -> angle read:13.00 | controller signal:1370.00 | 
17:37:34.800 -> angle read:14.00 | controller signal:1370.00 | 
17:37:34.835 -> angle read:13.00 | controller signal:1370.00 | 
17:37:34.870 -> angle read:14.00 | controller signal:1376.70 | 
17:37:34.940 -> angle read:13.00 | controller signal:1376.70 | 
17:37:34.975 -> angle read:13.00 | controller signal:1393.30 | 
17:37:35.044 -> angle read:13.00 | controller signal:1393.30 | 
17:37:35.079 -> angle read:13.00 | controller signal:1393.30 | 
17:37:35.114 -> angle read:13.00 | controller signal:1405.00 | 
17:37:35.184 -> angle read:13.00 | controller signal:1405.00 | 
17:37:35.219 -> angle read:13.00 | controller signal:1417.00 | 
17:37:35.289 -> angle read:12.00 | controller signal:1417.00 | 
17:37:35.324 -> angle read:12.00 | controller signal:1434.30 | 
17:37:35.393 -> angle read:13.00 | controller signal:1434.30 | 
17:37:35.427 -> angle read:13.00 | controller signal:1434.30 | 
17:37:35.496 -> angle read:13.00 | controller signal:1441.70 | 
17:37:35.531 -> angle read:14.00 | controller signal:1441.70 | 
17:37:35.566 -> angle read:15.00 | controller signal:1443.40 | 
17:37:35.636 -> angle read:14.00 | controller signal:1443.40 | 
17:37:35.671 -> angle read:16.00 | controller signal:1443.40 | 
17:37:35.740 -> angle read:16.00 | controller signal:1448.70 | 
17:37:35.774 -> angle read:17.00 | controller signal:1448.70 | 
17:37:35.844 -> angle read:17.00 | controller signal:1452.70 | 
17:37:35.879 -> angle read:18.00 | controller signal:1452.70 | 
17:37:35.914 -> angle read:18.00 | controller signal:1455.70 | 
17:37:35.984 -> angle read:19.00 | controller signal:1455.70 | 
17:37:36.019 -> angle read:19.00 | controller signal:1455.70 | 
17:37:36.089 -> angle read:19.00 | controller signal:1457.70 | 
17:37:36.123 -> angle read:19.00 | controller signal:1457.70 | 
17:37:36.193 -> angle read:19.00 | controller signal:1464.00 | 
17:37:36.228 -> angle read:19.00 | controller signal:1464.00 | 
17:37:36.263 -> angle read:19.00 | controller signal:1464.00 | 
17:37:36.333 -> angle read:18.00 | controller signal:1475.30 | 
17:37:36.368 -> angle read:18.00 | controller signal:1475.30 | 
17:37:36.438 -> angle read:18.00 | controller signal:1482.00 | 
17:37:36.473 -> angle read:18.00 | controller signal:1482.00 | 
17:37:36.542 -> angle read:17.00 | controller signal:1494.30 | 
17:37:36.577 -> angle read:17.00 | controller signal:1494.30 | 
17:37:36.647 -> angle read:17.00 | controller signal:1494.30 | 
17:37:36.682 -> angle read:18.00 | controller signal:1496.70 | 
17:37:36.717 -> angle read:17.00 | controller signal:1496.70 | 
17:37:36.787 -> angle read:18.00 | controller signal:1504.00 | 
17:37:36.822 -> angle read:18.00 | controller signal:1504.00 | 
17:37:36.891 -> angle read:17.00 | controller signal:1504.00 | 
17:37:36.926 -> angle read:18.00 | controller signal:1511.00 | 
17:37:36.961 -> angle read:19.00 | controller signal:1511.00 | 
17:37:37.029 -> angle read:18.00 | controller signal:1511.00 | 
17:37:37.064 -> angle read:19.00 | controller signal:1512.70 | 
17:37:37.134 -> angle read:20.00 | controller signal:1512.70 | 
17:37:37.169 -> angle read:19.00 | controller signal:1519.00 | 
17:37:37.238 -> angle read:20.00 | controller signal:1519.00 | 
17:37:37.272 -> angle read:21.00 | controller signal:1514.40 | 
17:37:37.340 -> angle read:21.00 | controller signal:1514.40 | 
17:37:37.375 -> angle read:21.00 | controller signal:1519.00 | 
17:37:37.445 -> angle read:20.00 | controller signal:1519.00 | 
17:37:37.480 -> angle read:21.00 | controller signal:1519.00 | 
17:37:37.515 -> angle read:21.00 | controller signal:1523.00 | 
17:37:37.585 -> angle read:21.00 | controller signal:1523.00 | 
17:37:37.619 -> angle read:21.00 | controller signal:1523.00 | 
17:37:37.688 -> angle read:22.00 | controller signal:1521.70 | 
17:37:37.722 -> angle read:21.00 | controller signal:1521.70 | 
17:37:37.792 -> angle read:20.00 | controller signal:1535.60 | 
17:37:37.827 -> angle read:21.00 | controller signal:1535.60 | 
17:37:37.862 -> angle read:20.00 | controller signal:1540.00 | 
17:37:37.932 -> angle read:20.00 | controller signal:1540.00 | 
17:37:37.967 -> angle read:20.00 | controller signal:1545.00 | 
17:37:38.035 -> angle read:20.00 | controller signal:1545.00 | 
17:37:38.070 -> angle read:20.00 | controller signal:1545.00 | 
17:37:38.140 -> angle read:20.00 | controller signal:1550.00 | 
